type,delay,0
Spring,0,58
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,2,
Spring,2,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,,
Spring,,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
Spring,0,
