repository forks diskUsage_KB stargazers watchers issues commits pullRequests updatedAt projects status ahead_by behind_by
googlesamples/android-AutofillFramework , 230
googlesamples/android-play-location , 2170
googlesamples/google-services , 2366
googlesamples/easypermissions , 1165
googlesamples/android-testing , 2409
googlesamples/android-Camera2Basic , 1182
googlesamples/android-credentials , 138
googlesamples/android-EmojiCompat , 122
googlesamples/android-instant-apps , 270
googlesamples/android-nearby , 317
googlesamples/android-AppUsageStatistics , 86
googlesamples/android-custom-lint-rules , 78
googlesamples/android-play-billing , 852
googlesamples/android-vision , 1578
googlesamples/android-ads , 224
googlesamples/android-SpeedTracker , 95
googlesamples/android-BluetoothLeGatt , 534
googlesamples/android-Camera2Raw , 150
googlesamples/android-WifiRttScan , 15
googlesamples/android-ActionBarCompat-ShareActionProvider , 155
googlesamples/android-testdpc , 148
googlesamples/android-PictureInPicture , 295
googlesamples/android-ActivitySceneTransitionBasic , 120
googlesamples/android-Camera2Video , 486
googlesamples/android-Notifications , 76
googlesamples/android-BasicAccessibility , 64
googlesamples/android-XYZTouristAttractions , 185
googlesamples/android-WearVerifyRemoteApp , 31
googlesamples/android-WearSpeakerSample , 33
googlesamples/android-WearHighBandwidthNetworking , 18
googlesamples/android-WearDrawers , 22
googlesamples/android-WearComplicationProvidersTestSuite , 14
googlesamples/android-WearAccessibilityApp , 5
googlesamples/android-WatchFace , 161
googlesamples/android-RuntimePermissionsWear , 19
googlesamples/android-JumpingJack , 23
googlesamples/android-DataLayer , 39
googlesamples/android-AlwaysOn , 29
googlesamples/android-MediaEffects , 60
googlesamples/android-DirectBoot , 72
googlesamples/leanback-showcase , 196
googlesamples/android-MessagingService , 145
googlesamples/androidtv-sample-inputs , 161
googlesamples/leanback-homescreen-channels , 14
googlesamples/android-play-publisher-api , 191
googlesamples/androidtv-Leanback , 424
googlesamples/android-BluetoothChat , 604
googlesamples/android-MediaRecorder , 179
googlesamples/android-fit , 372
googlesamples/android-DisplayingBitmaps , 123
googlesamples/android-testing-templates , 285
googlesamples/android-ActivityInstrumentation , 39
googlesamples/chromeos-android-draganddrop-demo , 3
googlesamples/android-BasicRenderScript , 40
googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer , 5
googlesamples/android-CustomChoiceList , 48
googlesamples/android-WatchViewStub , 32
googlesamples/android-Timer , 58
googlesamples/android-TextSwitcher , 62
googlesamples/android-TextLinkify , 52
googlesamples/android-SynchronizedNotifications , 62
googlesamples/android-SwipeRefreshMultipleViews , 85
googlesamples/android-SwipeRefreshListFragment , 89
googlesamples/android-SwipeRefreshLayoutBasic , 56
googlesamples/android-StorageProvider , 52
googlesamples/android-StorageClient , 39
googlesamples/android-SlidingTabsColors , 66
googlesamples/android-SlidingTabsBasic , 97
