framework,project,todos nao distintos,todos distintos,apenas do framework nao distintos,apenas do framework distinto
android,account-transfer-api,69,41,50,27
android,android-AccelerometerPlay,22,22,22,22
android,android-ActionBarCompat-Basic,7,7,6,6
android,android-ActionBarCompat-ListPopupMenu,14,13,12,11
android,android-ActionBarCompat-ShareActionProvider,31,28,26,23
android,android-ActionBarCompat-Styled,7,7,6,6
android,android-ActiveNotifications,49,34,41,29
android,android-ActivityInstrumentation,30,25,26,21
android,android-ActivitySceneTransitionBasic,42,31,39,29
android,android-ads,325,92,205,48
android,android-AdvancedImmersiveMode,40,30,31,24
android,android-AlwaysOn,20,20,15,15
android,android-AppRestrictionEnforcer,89,41,80,35
android,android-AppRestrictions,37,24,31,19
android,android-AppRestrictionSchema,49,37,40,31
android,android-AppShortcuts,47,37,35,27
android,android-AppUsageStatistics,46,33,34,24
android,android-AsymmetricFingerprintDialog,103,65,48,31
android,android-AutoBackupForApps,39,28,32,22
android,android-AutofillFramework,1117,269,608,152
android,android-BasicAccessibility,28,24,27,23
android,android-BasicAndroidKeyStore,60,51,33,27
android,android-BasicContactables,35,27,34,26
android,android-BasicGestureDetect,44,32,33,26
android,android-BasicImmersiveMode,36,28,27,22
android,android-BasicManagedProfile,51,26,49,25
android,android-BasicMediaDecoder,34,31,22,21
android,android-BasicMediaRouter,37,28,36,27
android,android-BasicMultitouch,27,23,26,22
android,android-BasicNetworking,37,27,32,22
android,android-BasicNotifications,11,11,10,10
android,android-BasicRenderScript,12,12,11,11
android,android-BasicSyncAdapter,126,75,96,56
android,android-BasicTransition,59,40,52,35
android,android-BatchStepSensor,114,63,89,48
android,android-BeamLargeFiles,49,38,38,29
android,android-BluetoothAdvertisements,68,41,62,38
android,android-BluetoothChat,85,51,70,41
android,android-BluetoothLeGatt,59,39,52,35
android,android-BorderlessButtons,26,23,26,23
android,android-Camera2Basic,60,57,48,45
android,android-Camera2Raw,76,72,57,53
android,android-Camera2Video,51,47,43,39
android,android-CardEmulation,47,32,37,25
android,android-CardReader,47,33,34,24
android,android-CardView,11,10,11,10
android,android-ClippingBasic,43,31,34,25
android,android-codelab-watchface,95,22,85,20
android,android-CommitContentSampleApp,18,18,16,16
android,android-CommitContentSampleIME,27,27,22,22
android,android-ConfirmCredential,28,28,13,13
android,android-ContentProviderPaging,55,41,46,32
android,android-credentials,228,111,134,53
android,android-custom-lint-rules,58,26,0,0
android,android-CustomChoiceList,27,20,27,20
android,android-CustomNotifications,12,12,10,10
android,android-CustomTransition,54,40,46,35
android,android-DataLayer,144,73,75,33
android,android-DelayedConfirmation,33,21,14,9
android,android-DeviceOwner,41,27,38,24
android,android-DirectBoot,91,54,63,37
android,android-DirectorySelection,36,25,31,23
android,android-DirectShare,32,21,30,19
android,android-DisplayingBitmaps,222,127,119,64
android,android-DocumentCentricApps,28,19,23,16
android,android-DocumentCentricRelinquishIdentity,9,7,9,7
