framework,project,todos nao distintos,todos distintos,apenas do framework nao distintos,apenas do framework distinto
android,account-transfer-api,9.86,5.86,7.14,3.86
android,android-AccelerometerPlay,22.00,22.00,22.00,22.00
android,android-ActionBarCompat-Basic,3.50,3.50,3.00,3.00
android,android-ActionBarCompat-ListPopupMenu,3.50,3.25,3.00,2.75
android,android-ActionBarCompat-ShareActionProvider,7.75,7.00,6.50,5.75
android,android-ActionBarCompat-Styled,3.50,3.50,3.00,3.00
android,android-ActiveNotifications,4.90,3.40,4.10,2.90
android,android-ActivityInstrumentation,3.75,3.12,3.25,2.62
android,android-ActivitySceneTransitionBasic,3.82,2.82,3.55,2.64
android,android-ads,12.50,3.54,7.88,1.85
android,android-AdvancedImmersiveMode,4.00,3.00,3.10,2.40
android,android-AlwaysOn,20.00,20.00,15.00,15.00
android,android-AppRestrictionEnforcer,9.89,4.56,8.89,3.89
android,android-AppRestrictions,9.25,6.00,7.75,4.75
android,android-AppRestrictionSchema,5.44,4.11,4.44,3.44
android,android-AppShortcuts,11.75,9.25,8.75,6.75
android,android-AppUsageStatistics,7.67,5.50,5.67,4.00
android,android-AsymmetricFingerprintDialog,11.44,7.22,5.33,3.44
android,android-AutoBackupForApps,9.75,7.00,8.00,5.50
android,android-AutofillFramework,3.21,0.77,1.75,0.44
android,android-BasicAccessibility,3.11,2.67,3.00,2.56
android,android-BasicAndroidKeyStore,5.45,4.64,3.00,2.45
android,android-BasicContactables,3.89,3.00,3.78,2.89
android,android-BasicGestureDetect,4.00,2.91,3.00,2.36
android,android-BasicImmersiveMode,3.60,2.80,2.70,2.20
android,android-BasicManagedProfile,10.20,5.20,9.80,5.00
android,android-BasicMediaDecoder,11.33,10.33,7.33,7.00
android,android-BasicMediaRouter,4.11,3.11,4.00,3.00
android,android-BasicMultitouch,3.00,2.56,2.89,2.44
android,android-BasicNetworking,4.11,3.00,3.56,2.44
android,android-BasicNotifications,5.50,5.50,5.00,5.00
android,android-BasicRenderScript,6.00,6.00,5.50,5.50
android,android-BasicSyncAdapter,7.41,4.41,5.65,3.29
android,android-BasicTransition,5.36,3.64,4.73,3.18
android,android-BatchStepSensor,5.70,3.15,4.45,2.40
android,android-BeamLargeFiles,4.45,3.45,3.45,2.64
android,android-BluetoothAdvertisements,11.33,6.83,10.33,6.33
android,android-BluetoothChat,07.08,4.25,5.83,3.42
android,android-BluetoothLeGatt,14.75,9.75,13.00,8.75
android,android-BorderlessButtons,3.71,3.29,3.71,3.29
android,android-Camera2Basic,15.00,14.25,12.00,11.25
android,android-Camera2Raw,19.00,18.00,14.25,13.25
android,android-Camera2Video,17.00,15.67,14.33,13.00
android,android-CardEmulation,3.92,2.67,03.08,02.08
android,android-CardReader,4.27,3.00,03.09,2.18
android,android-CardView,3.67,3.33,3.67,3.33
android,android-ClippingBasic,4.30,3.10,3.40,2.50
android,android-codelab-watchface,19.00,4.40,17.00,4.00
android,android-CommitContentSampleApp,18.00,18.00,16.00,16.00
android,android-CommitContentSampleIME,27.00,27.00,22.00,22.00
android,android-ConfirmCredential,28.00,28.00,13.00,13.00
android,android-ContentProviderPaging,9.17,6.83,7.67,5.33
android,android-credentials,13.41,6.53,7.88,3.12
android,android-custom-lint-rules,8.29,3.71,0.00,0.00
android,android-CustomChoiceList,3.00,2.22,3.00,2.22
android,android-CustomNotifications,12.00,12.00,10.00,10.00
android,android-CustomTransition,5.40,4.00,4.60,3.50
android,android-DataLayer,18.00,9.12,9.38,4.12
