sample,repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by,Android,0,"0,238805970149254"
Android,martijndebruijn/google-services,0,7976,0,1,0,343,0,2015-08-20T06:41:11Z,0,diverged,330,615,Android,1-10,"0,358208955223881"
Android,colinsung/google-services,0,7960,0,1,0,353,0,2015-06-22T07:12:29Z,0,diverged,21,296,Android,11-50,"0,223880597014925"
Android,thyberg/androidtv-Leanback,0,1908,0,0,0,127,0,2015-05-09T07:52:02Z,0,diverged,22,153,Android,>50,"0,17910447761194"
Android,catalant-backup/google-services,0,9180,0,6,0,570,0,2017-10-27T16:51:48Z,0,diverged,53,111,Spring,0,"0,056179775280899"
Android,mstarvid/androidtv-Leanback,0,1827,0,2,0,181,0,2016-07-20T00:11:09Z,0,diverged,26,103,Spring,1-10,"0,224719101123595"
Android,CRSingh/android-testing,0,10971,0,1,0,94,0,2018-07-13T16:25:58Z,0,diverged,14,103,Spring,11-50,"0,606741573033708"
Android,colinsung/androidtv-Leanback,0,1892,0,1,0,175,0,2015-05-13T01:47:57Z,0,diverged,19,102,Spring,>50,"0,112359550561798"
Android,shucc/easypermissions,0,252,0,1,0,101,0,2017-02-28T08:30:56Z,0,diverged,33,96,,,
Android,cscsmeca/android-testing,0,10876,0,1,0,101,0,2016-09-18T05:48:21Z,0,diverged,12,94,,,
Android,betty200744/android-testing,0,10929,0,1,0,106,0,2017-03-24T02:21:12Z,0,diverged,15,92,,,
Android,trapacska/android-testing,0,11059,0,0,0,116,0,2017-11-17T11:30:05Z,0,diverged,13,80,,,
Android,shimondoodkin/android-play-billing,0,277,0,1,0,34,10,2016-09-23T05:56:33Z,0,diverged,21,52,,,
Android,scinfu/android-testing,0,11254,0,1,0,167,0,2018-09-05T13:11:10Z,0,diverged,16,32,,,
Android,devdev-dev/DD-AWF01,0,1536,0,1,0,23,0,2018-02-01T21:36:21Z,0,diverged,22,30,,,
Android,cartland/android-WatchFace,0,829,0,1,0,26,0,2014-12-24T09:14:06Z,0,diverged,24,29,,,
Android,tslilyai/android-BluetoothLeGatt,0,150906,0,1,0,103,0,2018-01-27T18:30:20Z,0,diverged,103,25,,,
Android,touchlab/android-Camera2Video,1,606,2,3,0,13,0,2017-01-18T02:59:26Z,0,diverged,11,25,,,
Android,andylincoln/Moonlight-Mill-Watch-Collection,0,9233,0,1,0,21,2,2015-07-11T22:53:19Z,0,diverged,13,23,,,
Android,manuelfidalgo/android,0,2996,0,1,0,75,0,2018-07-29T17:19:07Z,0,diverged,21,22,,,
Android,thagikura/testable-SynchronizedNotifications,0,724,0,1,0,19,3,2015-02-23T17:06:37Z,0,diverged,12,21,,,
Android,ChristianBecker/android_ibeacon,0,424,0,1,0,18,0,2015-05-28T06:57:22Z,0,diverged,11,18,,,
Android,zhangjunquan/android-BasicMultitouch,0,383,0,1,0,17,0,2015-02-25T09:40:09Z,0,diverged,11,18,,,
Android,recoilme/android-DisplayingBitmaps,0,19536,0,1,0,21,0,2015-06-10T08:39:45Z,0,diverged,11,15,,,
Android,colinsung/android-BasicManagedProfile,0,548,0,1,0,34,0,2015-05-12T01:48:41Z,0,diverged,23,14,,,
Android,wmh-demos/android-AutofillFramework,0,9588,0,1,0,27,0,2017-10-25T14:31:21Z,0,diverged,12,13,,,
Android,Buggaboo/android-SpeedTracker,0,210,0,1,0,30,0,2016-02-21T18:31:20Z,0,diverged,11,13,,,
Android,comarchtechnologies/android-MediaBrowserService,0,1010,1,2,0,26,0,2015-09-27T14:11:57Z,0,diverged,12,12,,,
Android,KlausKrieger/android-play-location,0,9044,0,1,0,83,0,2018-03-19T16:59:53Z,0,diverged,22,10,,,
Android,ulysses4ever/Background-VideoRecorder,1,1469,1,1,4,30,0,2016-02-23T16:03:04Z,0,diverged,13,10,,,
Android,cmonr/uBristleBot-AndroidApp,0,6398,0,0,11,46,0,2016-01-12T04:24:37Z,0,diverged,30,9,,,
Android,Clabfabs/HeartBuddy,2,846,0,4,11,45,0,2016-04-15T07:34:21Z,0,diverged,29,9,,,
Android,commons-app/ShootMe,1,26888,5,3,11,37,1,2018-09-17T22:00:57Z,0,diverged,22,9,,,
Android,thomaslg/android-BLEAudio,0,430,0,1,0,28,0,2016-02-24T08:40:54Z,0,diverged,11,8,,,
Android,AbdulDroid/android-vision,0,733,0,1,0,91,0,2017-06-02T09:20:28Z,0,diverged,22,7,,,
Android,innocarpe/android-vision,0,770,0,1,0,88,0,2017-05-30T04:22:27Z,0,diverged,19,7,,,
Android,RoundSparrow/android-Camera2Basic,0,1447,0,1,0,33,0,2016-05-25T13:16:48Z,0,diverged,12,7,,,
Android,hoopoe/FR-android-dlib-opencv,1,379581,0,1,0,221,22,2018-08-22T08:07:38Z,0,diverged,150,5,,,
Android,nikhilshenoy/android-vision,0,833,0,1,0,98,0,2018-04-13T21:52:46Z,0,diverged,27,5,,,
Android,sharraj/android-vision,0,789,0,0,0,87,0,2018-06-14T08:03:17Z,0,diverged,16,5,,,
Android,vazgen-vazg/android-instant-apps,0,696,0,1,0,46,0,2018-05-29T06:48:12Z,0,diverged,15,5,,,
Android,kiv1995/android-BasicGestureDetect,0,334,0,0,0,31,0,2016-11-27T14:52:59Z,0,diverged,12,5,,,
Android,nayzaa/android-vision,0,71918,0,2,0,82,0,2017-11-15T05:06:00Z,0,diverged,11,5,,,
Android,chad187/android-Camera2Video,0,6928,0,1,0,35,0,2017-03-22T03:26:43Z,0,diverged,12,4,,,
Android,huynhdt/android-JobScheduler,0,1058,0,0,0,53,0,2017-06-26T21:50:48Z,0,diverged,30,3,,,
Android,willchamberlain/android-Camera2Basic,0,1842,0,1,0,44,0,2018-05-31T13:17:12Z,0,diverged,19,3,,,
Android,hth9021/android-WatchFace,0,2964,0,0,0,44,0,2018-01-10T01:30:18Z,0,diverged,16,3,,,
Android,igorpf/ihc,0,2292,0,1,0,38,0,2017-05-22T11:55:29Z,0,diverged,16,3,,,
Android,dff-solutions/android-play-publisher-api,0,6541,1,11,0,31,0,2017-05-19T06:38:50Z,0,diverged,22,2,,,
Android,Ezreal147/android-BluetoothChat,0,584,0,0,0,44,0,2018-04-08T13:03:24Z,0,diverged,20,1,,,
Android,anastasiia-kornilova/VideoSensorApi2,1,163363,0,3,0,37,4,2017-03-09T12:58:50Z,0,diverged,11,1,,,
Android,NCookies/android-BluetoothLeGatt,0,362,0,1,0,35,0,2017-11-06T03:49:44Z,0,diverged,11,1,,,
Android,tam1m/SundtekTvInput,0,24289,0,0,0,368,0,2018-07-09T16:03:43Z,0,ahead,173,0,,,
Android,AqrLei/android-Camera2,0,1524,0,1,0,60,0,2018-10-15T05:00:06Z,0,ahead,43,0,,,
Android,GulajavaMinistudio/easypermissions,0,513,0,1,0,196,32,2018-10-31T18:50:44Z,0,ahead,32,0,,,
Android,chester11206/android-fit,0,122658,0,0,0,82,0,2018-08-21T15:13:58Z,0,ahead,28,0,,,
Android,whacked/android-BluetoothLeGatt,0,358,0,1,0,52,0,2018-11-23T19:20:15Z,0,ahead,27,0,,,
Android,mankidal19/leanback-showcase,0,128515,0,0,0,61,0,2018-10-17T04:41:41Z,0,ahead,21,0,,,
Android,ddwheele/android-vision,0,859,0,1,0,95,0,2018-11-12T05:34:24Z,0,ahead,19,0,,,
Android,hfmanson/android-CardEmulation,0,1584,0,1,0,43,0,2018-10-18T10:20:50Z,0,ahead,19,0,,,
Android,kaveman909/android-BluetoothLeGatt,0,364,0,1,0,43,1,2018-05-06T00:10:53Z,0,ahead,18,0,,,
Android,krzdabrowski/fingerprint-test,0,25434,0,0,0,43,0,2018-05-25T12:31:45Z,0,ahead,18,0,,,
Android,Thommil/animals-go-android,0,76902,0,1,0,46,0,2018-06-22T14:31:00Z,0,ahead,18,0,,,
Android,ultra-sonic/android-Camera2Basic,0,1508,0,1,0,44,0,2018-04-07T21:07:46Z,0,ahead,16,0,,,
Android,sxmon/android-Camera2Basic,0,2869,0,1,0,43,0,2018-10-03T22:06:11Z,0,ahead,15,0,,,
Android,Kevcpro/MentAlly,0,22260,1,2,0,39,0,2018-09-27T23:07:59Z,0,ahead,12,0,,,
Android,tomoima525/android-Camera2Basic,1,1471,1,0,0,40,5,2018-11-11T09:24:13Z,0,ahead,12,0,,,
Android,safebutler/android-vision,0,759,0,3,0,87,0,2018-05-29T07:35:36Z,0,ahead,11,0,,,
,,,,,,,,,,,,,,,,
Spring,nomaed/springboot-load-time,0,372,0,1,0,107,0,2018-11-16T20:20:17Z,0,diverged,107,325,,,
Spring,eiselems/gs-accessing-data-mysql,0,434,0,1,0,97,0,2018-10-05T13:46:22Z,0,diverged,97,109,,,
Spring,gregturn/gs-accessing-data-jpa,0,405,0,1,0,125,0,2014-07-23T03:57:22Z,0,diverged,16,77,,,
Spring,fortunecookiezen/gs-spring-boot-docker,1,296,0,1,0,73,5,2015-10-03T15:24:07Z,0,diverged,28,74,,,
Spring,ranjeetkgupta/gs-spring-boot-docker,0,162,0,2,0,111,0,2016-02-04T06:25:52Z,0,diverged,64,72,,,
Spring,cnuss/greeting-service,0,677,0,0,0,291,2,2018-05-03T03:24:11Z,0,diverged,29,63,,,
Spring,supermy/gs-accessing-data-rest,0,412,0,1,0,51,0,2015-06-24T10:38:15Z,0,diverged,17,63,,,
Spring,igorrosenberg/gs-batch-processing,0,353,0,1,0,150,0,2015-05-16T18:19:12Z,0,diverged,15,57,,,
Spring,metyl/gs-accessing-data-mongodb,0,333,0,1,0,159,0,2015-06-08T14:33:40Z,0,diverged,35,54,,,
Spring,newlight77/gs-uploading-files,0,456,0,0,0,193,0,2018-03-24T22:15:47Z,0,diverged,43,51,,,
Spring,tromantic/gs-rest-service-cors,0,690,0,0,0,81,0,2015-11-13T16:44:33Z,0,diverged,13,50,,,
Spring,tjuchniewicz/gs-rest-service,0,697,0,1,0,287,0,2016-05-15T13:48:13Z,0,diverged,12,50,,,
Spring,svenjohann/gs-spring-boot-docker,0,252,0,1,0,84,0,2017-01-19T12:47:59Z,0,diverged,14,49,,,
Spring,ZhijunZhao/gs-spring-boot-docker,0,252,0,0,0,90,0,2017-04-17T09:16:37Z,0,diverged,15,44,,,
Spring,Jesse0722/gs-spring-boot-docker,0,12758,0,1,0,88,0,2017-03-11T17:51:23Z,0,diverged,13,44,,,
Spring,vikasreddyb/gs-spring-boot-docker,0,257,0,0,0,87,0,2017-07-11T17:41:01Z,0,diverged,11,43,,,
Spring,flangewad/gs-serving-web-content,0,226,0,1,0,151,0,2016-05-06T15:43:20Z,0,diverged,26,39,,,
Spring,siva517/gs-maven,1,62,0,1,0,103,0,2016-01-27T04:15:01Z,0,diverged,11,39,,,
Spring,container1616/gs-scheduling-tasks,0,7405,0,1,0,181,0,2016-03-14T22:49:37Z,0,diverged,12,37,,,
Spring,macsnow/gs-spring-boot-docker,0,282,0,1,0,100,0,2017-07-27T08:13:19Z,0,diverged,14,33,,,
Spring,agbpatro/geospatial587,0,660,1,2,0,238,8,2017-02-04T14:07:33Z,0,diverged,94,30,,,
Spring,jcperezamin/gs-spring-boot-docker,0,275,0,0,0,120,0,2018-03-17T00:56:18Z,0,diverged,31,30,,,
Spring,liefra/kotlin-vaadin-spring-data-example,0,260,0,1,0,68,0,2018-10-23T12:03:31Z,0,diverged,23,28,,,
Spring,patux21/kotlin-vaadin-spring-data-example,0,260,0,1,0,68,0,2018-10-23T12:03:31Z,0,diverged,23,28,,,
Spring,mgsmith128/kotlin-vaadin-spring-data-example,0,260,0,1,0,68,0,2018-10-23T12:03:31Z,0,diverged,23,28,,,
Spring,sdeleuze/kotlin-vaadin-spring-data-example,0,260,0,0,0,66,0,2018-10-23T12:03:31Z,0,diverged,21,28,,,
Spring,snicoll/kotlin-vaadin-spring-data-example,0,252,0,0,0,66,0,2018-10-23T12:03:31Z,0,diverged,21,28,,,
Spring,apprenda/gs-rest-service,1,13172,1,7,0,315,1,2018-01-18T14:11:06Z,0,diverged,18,28,,,
Spring,kharmaodo/gs-crud-with-vaadin-1,0,249,0,1,0,61,0,2018-10-23T12:03:31Z,0,diverged,16,28,,,
