ecosystem,group,nameProject,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,numberofFilesJava,CountDeclFunction,CountDeclInstanceMethod,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,RelativeMethodPublic,RelativeLineCode,CyclomaticPerMethod,RelativeLineComment,Commit,Contributor,Lifetime,LifetimePerCommit,LifetimePerCont,BC,relativeBC,NBC,relativeNBC,total
Android,TOP,easypermissions,1083,508,6612,245,160,164,98,2018-11-12T13:15:42Z,25,245.0,225.0,245.0,15.0,27.0,5.0,198.0,3226.0,540.0,2281.0,1101.0,993.0,405.0,357.0,324.0,324.0,329.0,0.81,0.71,1.32,0.13,103,20,1054,10.0,52.0,6901,34.9,12875,65.1,19776
Android,TOP,android-testing,2194,11243,5856,446,125,183,91,2018-11-12T16:00:33Z,58,218.0,199.0,220.0,12.0,21.0,31.0,156.0,4735.0,735.0,2341.0,1351.0,871.0,1666.0,3311.0,268.0,264.0,274.0,0.71,0.49,1.2,0.35,96,14,1418,14.0,101.0,96,50.0,96,50.0,192
Android,TOP,android-vision,1475,731,2426,231,357,76,33,2018-11-11T22:45:20Z,48,572.0,560.0,572.0,61.0,84.0,42.0,385.0,12672.0,1526.0,6872.0,2725.0,3603.0,4283.0,2673.0,1118.0,1106.0,1193.0,0.67,0.54,1.93,0.34,37,10,1246,33.0,124.0,37,3.0,1184,97.0,1221
Android,TOP,google-services,2323,8508,2319,249,299,628,89,2018-11-12T03:17:03Z,19,126.0,124.0,126.0,0.0,48.0,18.0,60.0,2606.0,391.0,1574.0,673.0,844.0,645.0,640.0,220.0,208.0,231.0,0.48,0.6,1.65,0.25,335,32,1314,3.0,41.0,6030,35.3,11055,64.7,17085
Android,TOP,android-Camera2Basic,1000,1458,1883,140,106,28,25,2018-11-12T04:03:40Z,4,58.0,55.0,58.0,1.0,18.0,3.0,36.0,1204.0,142.0,748.0,236.0,459.0,315.0,177.0,126.0,119.0,144.0,0.62,0.62,2.05,0.26,28,3,1593,56.0,531.0,0,0.0,84,100.0,84
Android,TOP,android-testing-templates,267,167,1759,137,20,28,13,2018-11-09T11:20:14Z,13,26.0,26.0,26.0,0.0,1.0,1.0,24.0,753.0,113.0,333.0,238.0,82.0,309.0,823.0,27.0,27.0,28.0,0.92,0.44,1.04,0.41,20,6,1190,59.0,198.0,0,0.0,0,0.0,0
Android,TOP,android-play-location,2082,674,1554,174,144,71,34,2018-11-12T17:17:15Z,22,183.0,168.0,185.0,17.0,66.0,19.0,83.0,4129.0,533.0,2214.0,873.0,1234.0,1390.0,1267.0,323.0,311.0,329.0,0.45,0.54,1.68,0.34,53,13,1483,27.0,114.0,3233,72.6,1219,27.4,4452
Android,TOP,android-PictureInPicture,271,8217,1298,57,13,6,1,2018-11-13T06:02:10Z,5,112.0,106.0,112.0,9.0,12.0,13.0,78.0,1545.0,183.0,1109.0,333.0,658.0,255.0,114.0,173.0,168.0,182.0,0.7,0.72,1.5,0.17,6,1,594,99.0,594.0,6,14.3,36,85.7,42
Android,TOP,android-RuntimePermissions,395,589,1203,93,10,16,12,2018-11-13T17:28:54Z,6,33.0,28.0,33.0,0.0,7.0,1.0,25.0,862.0,110.0,437.0,160.0,244.0,320.0,351.0,63.0,60.0,68.0,0.76,0.51,1.82,0.37,16,1,1257,78.0,1257.0,112,87.5,16,12.5,128
Android,TOP,android-FingerprintDialog,433,623,1162,98,45,25,7,2018-11-13T13:06:19Z,4,43.0,45.0,45.0,4.0,8.0,2.0,31.0,791.0,87.0,529.0,192.0,289.0,179.0,91.0,73.0,71.0,74.0,0.69,0.67,1.58,0.23,22,2,1257,57.0,628.0,132,37.5,220,62.5,352
Android,TOP,androidtv-Leanback,385,8076,922,117,86,258,49,2018-11-13T01:13:45Z,38,247.0,238.0,247.0,4.0,40.0,23.0,180.0,4750.0,622.0,3318.0,1502.0,1800.0,859.0,1227.0,370.0,366.0,393.0,0.73,0.7,1.48,0.18,138,17,1600,11.0,94.0,9936,41.9,13800,58.1,23736
